date,site,consumption_kwh,solar_production_kwh,wind_production_kwh,grid_import_kwh,co2_emissions_kg,peak_demand_kw,is_anomaly
2024-01-01,Site_A_HongKong,606.29,0.0,30.64,575.65,134.13,104.26,False
2024-01-02,Site_A_HongKong,633.64,0.0,80.68,552.96,128.84,84.11,False
2024-01-03,Site_A_HongKong,573.66,0.0,41.64,532.02,123.96,78.86,False
2024-01-04,Site_A_HongKong,557.53,0.0,50.34,507.19,118.17,93.17,False
2024-01-05,Site_A_HongKong,589.25,0.0,40.37,548.89,127.89,76.74,False
2024-01-06,Site_A_HongKong,569.63,0.0,25.73,543.9,126.73,85.28,False
2024-01-07,Site_A_HongKong,611.42,0.0,39.91,571.51,133.16,80.15,False
2024-01-08,Site_A_HongKong,608.95,0.0,23.49,585.46,136.41,84.96,False
2024-01-09,Site_A_HongKong,543.86,0.0,31.55,512.31,119.37,82.97,False
2024-01-10,Site_A_HongKong,596.79,0.0,61.23,535.56,124.79,78.73,False
2024-01-11,Site_A_HongKong,617.54,0.0,49.24,568.3,132.42,78.4,False
2024-01-12,Site_A_HongKong,597.0,0.0,46.2,550.8,128.34,83.29,False
2024-01-13,Site_A_HongKong,611.13,0.0,34.55,576.58,134.34,99.49,False
2024-01-14,Site_A_HongKong,597.88,0.0,67.16,530.72,123.66,87.08,False
2024-01-15,Site_A_HongKong,589.83,0.0,70.0,519.82,121.12,79.6,False
2024-01-16,Site_A_HongKong,630.67,0.0,33.51,597.16,139.14,81.78,False
2024-01-17,Site_A_HongKong,614.15,0.0,78.39,535.76,124.83,93.57,False
2024-01-18,Site_A_HongKong,566.66,0.0,64.55,502.1,116.99,97.26,False
2024-01-19,Site_A_HongKong,587.42,0.0,25.92,561.5,130.83,82.39,False
2024-01-20,Site_A_HongKong,582.53,0.0,45.2,537.34,125.2,103.87,False
2024-01-21,Site_A_HongKong,530.93,0.0,56.27,474.65,110.59,79.72,False
2024-01-22,Site_A_HongKong,581.62,0.0,83.91,497.71,115.97,78.24,False
2024-01-23,Site_A_HongKong,620.83,0.0,48.39,572.43,133.38,98.05,False
2024-01-24,Site_A_HongKong,604.5,0.0,56.44,548.06,127.7,79.31,False
2024-01-25,Site_A_HongKong,590.2,0.0,45.62,544.58,126.89,78.84,False
2024-01-26,Site_A_HongKong,556.08,0.0,83.42,472.66,110.13,71.32,False
2024-01-27,Site_A_HongKong,564.27,0.0,33.19,531.08,123.74,90.06,False
2024-01-28,Site_A_HongKong,593.95,0.0,32.28,561.67,130.87,103.25,False
2024-01-29,Site_A_HongKong,594.9,0.0,73.5,521.41,121.49,103.41,False
2024-01-30,Site_A_HongKong,594.63,0.0,31.76,562.87,131.15,103.41,False
2024-01-31,Site_A_HongKong,872.55,0.0,52.73,819.83,191.02,138.84,True
2024-02-01,Site_A_HongKong,700.16,0.0,52.42,647.74,150.92,111.31,False
2024-02-02,Site_A_HongKong,689.69,0.0,49.98,639.72,149.05,93.74,False
2024-02-03,Site_A_HongKong,705.03,0.0,47.75,657.28,153.15,109.01,False
2024-02-04,Site_A_HongKong,627.87,0.0,21.31,606.56,141.33,99.66,False
2024-02-05,Site_A_HongKong,671.17,0.0,81.72,589.45,137.34,92.4,False
2024-02-06,Site_A_HongKong,710.67,0.0,49.75,660.91,153.99,125.2,False
2024-02-07,Site_A_HongKong,696.64,0.0,107.4,589.24,137.29,89.45,False
2024-02-08,Site_A_HongKong,711.07,0.0,62.79,648.28,151.05,100.67,False
2024-02-09,Site_A_HongKong,705.92,0.0,65.76,640.16,149.16,106.37,False
2024-02-10,Site_A_HongKong,723.9,0.0,67.85,656.05,152.86,125.52,False
2024-02-11,Site_A_HongKong,636.44,0.0,15.51,620.93,144.68,94.15,False
2024-02-12,Site_A_HongKong,614.97,0.0,23.83,591.14,137.73,104.15,False
2024-02-13,Site_A_HongKong,645.2,0.0,30.74,614.46,143.17,101.54,False
2024-02-14,Site_A_HongKong,756.03,0.0,107.51,648.52,151.11,114.14,False
2024-02-15,Site_A_HongKong,710.75,0.0,21.6,689.15,160.57,86.37,False
2024-02-16,Site_A_HongKong,649.3,0.0,46.65,602.65,140.42,99.31,False
2024-02-17,Site_A_HongKong,707.28,0.0,80.55,626.73,146.03,108.4,False
2024-02-18,Site_A_HongKong,630.56,0.0,89.61,540.94,126.04,76.21,False
2024-02-19,Site_A_HongKong,667.34,0.0,66.53,600.81,139.99,87.02,False
2024-02-20,Site_A_HongKong,607.99,0.0,16.81,591.18,137.75,86.63,False
2024-02-21,Site_A_HongKong,677.34,0.0,43.76,633.58,147.62,84.15,False
2024-02-22,Site_A_HongKong,668.52,0.0,55.19,613.33,142.91,95.79,False
2024-02-23,Site_A_HongKong,654.59,0.0,61.39,593.2,138.21,116.3,False
2024-02-24,Site_A_HongKong,658.93,0.0,22.28,636.65,148.34,111.27,False
2024-02-25,Site_A_HongKong,654.35,0.0,67.48,586.87,136.74,107.38,False
2024-02-26,Site_A_HongKong,654.1,0.0,80.41,573.69,133.67,117.36,False
2024-02-27,Site_A_HongKong,614.99,0.0,57.33,557.66,129.94,105.47,False
2024-02-28,Site_A_HongKong,727.8,0.0,67.63,660.16,153.82,109.4,False
2024-02-29,Site_A_HongKong,657.69,0.0,24.57,633.12,147.52,114.65,False
2024-03-01,Site_A_HongKong,729.82,109.32,47.74,572.76,133.45,115.25,False
2024-03-02,Site_A_HongKong,673.56,101.29,59.32,512.95,119.52,112.82,False
2024-03-03,Site_A_HongKong,713.98,94.61,73.13,546.24,127.27,100.71,False
